"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Ruvuma","TZ",1199,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
"Ruvuma","TZ",1200,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
"Ruvuma","TZ",1201,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
"Ruvuma","TZ",1202,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
"Ruvuma","TZ",1203,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
"Ruvuma","TZ",1204,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
"Ruvuma","TZ",1195,"Dicynodontoides",259.51,254.14,-47.7841,17.7482,1,"Dicynodontoides"
"Ruvuma","TZ",1194,"Euptychognathus",259.51,254.14,-47.7841,17.7482,1,"Euptychognathus"
"Free State","ZA",1193,"Compsodon",259.51,251.902,-61.365,-10.9827,1,"Compsodon"
"Western Cape","ZA",1192,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1177,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
